Biomarker;Document IDs;Activity Context Summary;Effect Summary;Sport Implications;Relevance for Sports (1-10);Biomarker Groups;Occurrences in Dataset
WBC counts;41010901;The analysis centers on hematological parameters, including WBC counts, in individuals recovering from COVID-19. This context is pertinent for athletes returning to training or competition post-illness, allowing for assessment of immune and inflammatory recovery status.;WBC counts remained stable over time in the overall cohort. However, males consistently showed higher WBC values than females, especially at the initial measurement point (T1).;WBC counts act as a general indicator of systemic inflammation and immune status, which directly influences an athlete's capacity for training, adaptation, and performance, particularly during recovery from significant physiological stressors like illness (e.g., COVID-19). Stable WBC counts, especially within a healthy range for athletes, might suggest the resolution of an acute inflammatory phase and readiness for a progressive increase in training load. Conversely, persistently elevated or significantly fluctuating WBC counts could indicate ongoing immune stress, under-recovery, or subclinical infection, warranting a more cautious approach to training intensity and volume. The observed sex-specific differences highlight the necessity of individualized monitoring strategies, as male and female athletes may exhibit distinct immune recovery trajectories post-illness, impacting their return-to-sport decisions and adaptive responses to training stimuli. This biomarker can inform coaches and sports medicine professionals in adjusting training plans, scheduling rest, and considering further immune system evaluation.;6;inflammatory_changes, cell_damage, muscle_damage;1
Triglycerides;41010901;The findings are contextualized within post-COVID-19 lipid metabolism, examining how triglycerides fluctuate during recovery from a viral infection.;Triglyceride levels fluctuated post-COVID-19. Males initially showed higher levels that gradually declined, while females exhibited a sustained increase over time.;Monitoring triglyceride levels, particularly with sex-specific considerations, can be vital for assessing metabolic recovery and adaptation post-illness (e.g., post-COVID-19). Fluctuations, especially sustained increases in females or initial elevations in males, may indicate altered metabolic flexibility and glucose metabolism, impacting an athlete's readiness for return to full training load. This biomarker can inform personalized training re-introduction strategies, recovery protocols, and nutritional interventions by highlighting sex-specific metabolic vulnerabilities or recovery patterns, crucial for preventing overtraining or underrecovery due to persistent metabolic stress. It provides indirect insight into the body's ability to manage energy substrates, which is fundamental for sustained athletic performance and long-term training capacity.;7;metabolic, glycemic, cardio_risk;1
Irisin;31976024;The activity contexts analyzed are exclusively focused on hepatocellular carcinoma (HCC). This includes comparisons of irisin levels in HCC tissues versus non-cancer tissues, HCC patients versus healthy controls, and associations within HCC patients with clinical factors (e.g., sex, viral hepatitis history, AFP levels, postoperative complications after hepatectomy, and hospital stay duration). No athlete population, exercise intervention, or training state is described in these contexts.;Irisin is consistently reported as downregulated or decreased in HCC tissues and serum of HCC patients compared to controls. Low irisin levels are significantly associated with higher postoperative complication index scores and longer hospital stays after hepatectomy in HCC patients. It also correlates with male sex, a history of viral hepatitis, and high AFP levels in HCC patients. Irisin demonstrates diagnostic utility for HCC, with a notable AUC for distinguishing HCC patients from healthy controls.;The provided findings describe Irisin's role exclusively in the context of hepatocellular carcinoma (HCC) diagnosis and prognosis. They indicate that Irisin levels are decreased in HCC patients and correlate with disease severity and postoperative complications. As such, this specific dataset offers no direct insights into training load monitoring, recovery, adaptation, overtraining, metabolic flexibility, inflammation, performance diagnostics, muscle damage and repair, or cardiovascular/endocrine adaptation in athletes. The data does not inform training decisions or provide utility for monitoring athletic states or health in an athletic population.;1;metabolic, glycemic, endocrine_response;6
Polygenic Risk Score (PRS);35027648;The Polygenic Risk Score (PRS) is consistently evaluated for its role in predicting and stratifying the risk of Epithelial Ovarian Cancer (EOC), specifically non-mucinous EOC. This assessment is conducted across various populations, including women of different ancestries (European, East Asian, African) and individuals carrying pathogenic variants in BRCA1 or BRCA2 genes. The contexts involve both general population risk and enhanced risk prediction for specific genetic predispositions.;A higher Polygenic Risk Score (PRS) consistently correlates with an increased odds or absolute risk of developing Epithelial Ovarian Cancer (EOC). The magnitude of this increased risk varies depending on ancestry and the presence of BRCA1/2 pathogenic variants. The PRS generally improves the diagnostic and predictive utility for EOC risk stratification, often showing stronger associations and better predictive power than previous models, with some variations in discrimination across different ancestral populations.;Based on the provided data, the Polygenic Risk Score (PRS), when applied to Epithelial Ovarian Cancer (EOC) risk, offers no direct or indirect insights into exercise physiology, training load monitoring, recovery and adaptation, overtraining/underrecovery, metabolic flexibility, inflammation in athletes, performance diagnostics, muscle damage and repair, or cardiovascular and endocrine adaptation relevant to athletic performance. The findings are solely focused on disease risk stratification and do not provide actionable information for coaches, sports scientists, or athletes regarding training decisions, physiological monitoring, or performance optimization.;1;;19
Gastrointestinal permeability;35897037;Male non-elite runners undergoing 4 weeks of probiotic supplementation (Lactobacillus, Bifidobacterium, Streptococcus).;Small to moderate improvement in gastrointestinal permeability.;Improved gastrointestinal permeability, often achieved through interventions like probiotic supplementation, can lead to enhanced gastrointestinal functions and reduced symptoms. This directly supports an athlete's ability to tolerate and recover from high-intensity training, thereby facilitating consistent training load and adaptation. Monitoring gastrointestinal permeability or related symptoms can help in optimizing gut health strategies, which are crucial for maintaining performance, mitigating inflammation, and preventing training disruptions caused by gastrointestinal distress.;8;inflammatory_changes;1
Inflammatory markers;35897037;Male non-elite runners undergoing 4 weeks of probiotic supplementation (Lactobacillus, Bifidobacterium, Streptococcus).;Probiotic supplementation had no influence on inflammatory markers.;In the context of this study, probiotic supplementation did not alter inflammatory markers in non-elite runners, suggesting that for this specific population and intervention, these markers were not sensitive enough to detect changes or that the intervention itself did not induce a measurable anti-inflammatory effect relevant to training adaptation or recovery. This implies that relying on inflammatory markers alone to assess the efficacy of probiotic interventions for modulating training-induced inflammation in similar athletic populations may not yield actionable insights for performance diagnostics or training load adjustments.;6;inflammatory_changes;1
T-cell production of INF-G;35897037;A 4-week Lactobacillus probiotic intervention was studied in athletes experiencing fatigue.;T-cell production of Interferon-gamma (INF-G) was restored to levels observed in healthy athletes.;T-cell production of INF-G is a valuable biomarker for assessing an athlete's immune system integrity and their response to training stress, fatigue, and recovery interventions. A reduction from healthy levels may indicate immune suppression, signaling a need for adjusted training loads, increased recovery, or immune-supportive interventions (e.g., probiotics). Its restoration, as observed with the probiotic intervention, indicates enhanced immune function, leading to a reduced risk of infection (like respiratory infections) and improved capacity for consistent training and performance. It serves as a diagnostic tool for monitoring immune adaptation, preventing overreaching/overtraining by highlighting immune compromise, and ensuring athletes maintain health vital for sustained performance.;8;inflammatory_changes;1
Salivary secretory immunoglobulin A (sIgA);35897037;A 14-week Lactobacillus probiotic intervention in elite athletes.;Salivary secretory immunoglobulin A (sIgA) concentrations were maintained.;Maintaining sIgA concentrations indicates robust mucosal immune health, which is critical for preventing upper respiratory tract infections (URTIs) and supporting consistent, high-quality training. It serves as a valuable indirect marker for monitoring immune stress, assessing recovery status, and evaluating the effectiveness of interventions (like probiotics) aimed at bolstering athlete resilience. Stable or improving sIgA levels suggest effective adaptation to training loads and reduced risk of illness-related performance disruptions, while a decline could signal underrecovery or excessive training stress. It helps inform training periodization and recovery strategies to optimize an athlete's ability to train and compete.;8;inflammatory_changes;1
Total number of upper respiratory infection days;35897037;A 14-week Lactobacillus probiotic intervention in elite athletes.;The total number of upper respiratory infection days was reduced.;Monitoring the total number of upper respiratory infection (URI) days is a critical, direct measure for assessing an athlete's immune health, overall training stress, and recovery status. A high number of URI days indicates compromised immune function, potentially stemming from excessive training load, inadequate recovery, nutritional deficiencies, or accumulated stress, leading to an increased risk of illness. This directly impairs an athlete's ability to train consistently at target intensities, causes missed training sessions, and reduces overall performance capacity. Conversely, a low number of URI days suggests robust immune resilience, effective recovery strategies, and appropriate training load management, allowing for uninterrupted training and optimal adaptation. This biomarker is highly useful for identifying periods of immune suppression, indicating potential overreaching or under-recovery, and informing adjustments to training schedules, recovery protocols, and nutritional strategies (e.g., probiotic supplementation as shown in the data) to maintain health and maximize performance.;9;inflammatory_changes;1
Endurance Performance (Time-to-exhaustion);35897037;Studies examined the effect of various probiotic interventions (Lactobacillus strains, or multi-strain formulations including Lactobacillus, Bifidobacterium, and Streptococcus) given for 4, 6, or 14 weeks. These interventions were tested in both non-elite athletes (during treadmill testing or running protocols) and elite athletes.;Probiotic supplementation led to a dose-dependent improvement in endurance performance in non-elite athletes. However, the same intervention showed no improvement in endurance performance in elite athletes.;Endurance Performance (Time-to-exhaustion) serves as a direct and fundamental biomarker for assessing an athlete's physiological capacity and fatigue resistance. For non-elite athletes, an improvement in time-to-exhaustion following an intervention (such as probiotic supplementation) indicates enhanced training capacity, improved performance potential, and successful physiological adaptation. Monitoring this biomarker can inform the effectiveness of nutritional strategies or training adjustments aimed at improving endurance in this population. Conversely, for elite athletes, the lack of improvement in time-to-exhaustion with certain interventions (e.g., probiotics) suggests that this biomarker may have limited sensitivity to detect performance gains from minor ergogenic aids in highly trained individuals, or that elite athletes may operate at a physiological ceiling where such interventions have minimal impact. Despite this, Time-to-exhaustion remains a critical performance diagnostic tool for assessing overall fitness, tracking long-term adaptation to training loads, and diagnosing current performance status across all athlete levels.;9;metabolic;3
Lean Body Mass;30848096;12 weeks of daily milk protein supplementation and walking exercise in physically active older adults with low habitual protein intake.;Daily milk protein supplementation significantly increased whole-body and truncal lean body mass compared to placebo over 12 weeks.;Lean Body Mass (LBM) is a cornerstone biomarker for athletic development, especially in strength, power, and combat sports where muscle mass directly contributes to performance. Monitoring LBM is crucial for assessing the effectiveness of resistance training programs and nutritional strategies aimed at hypertrophy and strength gains. An increase in LBM indicates successful adaptation, adequate protein/energy intake, and effective anabolic responses, reflecting proper recovery and muscle repair. Conversely, a decline in LBM can signal a catabolic state, potentially due to overtraining, insufficient recovery, or inadequate nutrition, leading to impaired performance and increased injury risk. For master athletes, maintaining or increasing LBM is vital for combating sarcopenia, preserving power, and extending athletic longevity, highlighting its role in long-term adaptation and physical resilience.;9;metabolic, endocrine_response;1
Fat Mass;30848096;Physically active older adults with low habitual protein intake undergoing 12 weeks of daily milk protein supplementation.;Daily milk protein supplementation led to a significantly larger decrease in absolute and relative fat mass, and a greater reduction in the fat mass/lean body mass ratio, compared to placebo in physically active older adults.;Fat mass is a critical component of body composition, which directly influences athletic performance across many sports, impacting factors like power-to-weight ratio, agility, endurance, and metabolic efficiency. Monitoring fat mass allows for performance diagnostics and helps in optimizing body composition targets. A decrease in fat mass, especially when coupled with adequate protein intake, indicates positive adaptation to training and nutritional strategies. While not an acute marker of training stress or recovery, significant or unfavorable changes in fat mass can signal an imbalance in training load, energy intake, or recovery status, potentially leading to suboptimal performance or increased injury risk. Maintaining optimal fat mass contributes to metabolic flexibility and overall athletic health, which can positively impact cardiovascular adaptation and reduce chronic low-grade inflammation, aiding in recovery and sustained training capacity.;8;metabolic, cardio_risk, inflammatory_changes;1
Physical Performance Markers;30848096;The study involved physically active older adults undergoing walking exercise training, with or without protein supplementation, to assess changes in physical performance markers.;Walking exercise training significantly improved key physical performance markers, including gait speed, chair-rise ability, Timed Up-and-Go (TUG) scores, and estimated VO2max. Protein supplementation did not provide additional benefits for these specific performance measures.;Physical performance markers like gait speed, TUG, and especially VO2max are fundamental for performance diagnostics and monitoring adaptation in athletes. Improvements in these markers directly indicate successful physiological adaptation to training, reflecting enhanced functional capacity, neuromuscular efficiency, and aerobic fitness. Monitoring these over time is crucial for assessing training efficacy, progression, and identifying potential plateaus or the need for training adjustments. While the study population was older adults, the principles are transferable: consistent improvements signify positive adaptation, while a lack of improvement or decline despite training could signal insufficient recovery, overtraining, or a ceiling effect for the given intervention. Estimated VO2max specifically informs on cardiovascular and metabolic adaptations, indicating improvements in aerobic capacity and efficiency, which are critical for endurance performance and overall athletic conditioning.;10;metabolic, cardio_risk;1
Renal Function Markers;30848096;12 weeks of daily milk protein supplementation in physically active older adults.;Creatinine concentrations increased and eGFR decreased in both control and milk protein supplementation groups over time, but no significant differences were observed between groups for eGFR or urinary albumin/creatinine ratio, indicating no adverse effect on renal function specifically attributable to protein supplementation.;These findings suggest that milk protein supplementation is a safe nutritional strategy for physically active older adults, as it does not adversely affect renal function markers (eGFR, urinary albumin/creatinine ratio) beyond typical age-related changes. From a sports perspective, this confirms the safety of a common intervention aimed at supporting muscle health and recovery, allowing athletes and active individuals to continue training and adapt without concern for renal compromise related to protein intake. While these markers do not directly monitor acute training load or recovery, their stability is crucial for long-term athlete health and sustained training capacity.;6;metabolic;1
25-hydroxyvitamin D;30848096;The study involved physically active older adults participating in a 12-week intervention comparing daily milk protein supplementation to a placebo.;25-hydroxyvitamin D levels significantly increased over the 12-week period in both the protein supplementation and placebo groups, with no observed differences between the groups.;This finding indicates that in physically active older adults, vitamin D status can improve over a sustained period (12 weeks) regardless of milk protein supplementation. For athletes, especially masters athletes, maintaining optimal vitamin D levels is crucial for musculoskeletal health, immune function, and overall physiological adaptation to training. While this biomarker shows long-term changes, it is not presented as an acute monitor for daily training load, immediate recovery status, or short-term performance diagnostics. Instead, it highlights the importance of regular assessment and potential multifactorial influences (e.g., sun exposure, diet) on vitamin D status over a training macrocycle, which underpins long-term health and athletic capacity.;7;inflammatory_changes, metabolic, endocrine_response;1
Body Weight;30848096;12 weeks of daily milk protein supplementation in physically active older adults, compared to a placebo group.;Body weight decreased borderline significantly more in the protein supplementation group compared to the placebo group.;Monitoring body weight is a fundamental, easily accessible tool for athletes to assess acute hydration status, chronic energy balance, and gross body composition changes. A controlled decrease in body weight, particularly when indicative of reduced fat mass with maintained or increased lean body mass (as can be supported by protein supplementation), signifies a positive adaptation for many sports, improving power-to-weight ratio and metabolic efficiency. Conversely, unintended rapid fluctuations or consistent downward trends in body weight can indicate acute dehydration, inadequate caloric intake, or excessive training stress/underrecovery, which can impair performance, adaptation, and increase injury risk. It serves as an important, albeit non-specific, daily or weekly metric for informing training load adjustments, recovery strategies, and nutritional interventions.;8;metabolic, cardio_risk, endocrine_response;1
Extracellular Vesicles (EVs);31936142;The activity contexts are exclusively focused on breast cancer, including diagnosis and monitoring of tumor burden in human patients (specific subtypes such as Her2+ and Triple Negative Breast Cancer) and murine models. There is no information provided regarding athletic populations, exercise interventions, or training states.;The findings consistently show a significant increase in both total and small extracellular vesicles (EVs) in the sera of breast cancer patients compared to healthy controls. This elevation is observed across various breast cancer subtypes (Her2+, TNBC). Additionally, EV levels demonstrated a moderate positive correlation with tumor burden in murine breast cancer models.;Based on the provided findings, which exclusively detail the role of Extracellular Vesicles (EVs) in breast cancer diagnosis and monitoring, there is no direct information available to infer their utility in exercise physiology, training load monitoring, recovery, adaptation, overtraining/underrecovery, metabolic flexibility, inflammation in athletes, performance diagnostics, muscle damage and repair, or cardiovascular and endocrine adaptation. The presented data does not inform training decisions or provide insights for monitoring adaptation, stress, performance, or recovery in an athletic population.;1;;7
miR-451a;31936142;The biomarker findings are exclusively observed in the context of breast cancer (BrCa) patients' sera and exosomal extracellular vesicles (EVs), comparing levels in breast cancer patients to healthy individuals.;miR-451a levels, specifically copies per exosomal EV, are significantly increased and greater in breast cancer patients compared to healthy controls.;Based on the provided data, miR-451a is presented solely as a potential diagnostic biomarker for breast cancer. There is no information or evidence provided in these findings that directly relates miR-451a to exercise physiology, training load monitoring, recovery, adaptation, overtraining, metabolic flexibility, inflammation in athletes, performance diagnostics, muscle damage and repair, or cardiovascular and endocrine adaptation. Therefore, it has no discernible implications for informing training decisions or monitoring athlete states based on this specific dataset.;1;;3
miRNA-101;31936142;The biomarker miRNA-101 was analyzed in serum-derived extracellular vesicles (EVs) from breast cancer patients and healthy controls. There is no information provided regarding athletic populations, exercise interventions, or training states.;miRNA-101 was found to be elevated in the serum EVs of breast cancer patients compared to healthy control subjects.;Based on the provided data, miRNA-101 is described strictly as a potential diagnostic biomarker for breast cancer. There is no information linking miRNA-101 levels to exercise physiology, training load monitoring, recovery, adaptation, overtraining, metabolic flexibility, inflammation in athletes, performance diagnostics, muscle damage and repair, or cardiovascular and endocrine adaptation in athletes. Therefore, it does not currently inform training decisions, or monitoring of adaptation, stress, performance, or recovery in a sports context.;1;;1
miRNA-372;31936142;The biomarker miRNA-372 was studied in serum-derived extracellular vesicles (EVs) of breast cancer patients (n=50) compared to healthy controls (n=12). There is no context provided relating to athletic populations, exercise interventions, or training states.;miRNA-372 levels were found to be elevated in the serum EVs of breast cancer patients compared to healthy controls.;Based strictly on the provided data, miRNA-372 is presented as a potential diagnostic biomarker for breast cancer. There is no information or context provided that links miRNA-372 to exercise physiology, training load monitoring, recovery, adaptation, overtraining, metabolic flexibility, inflammation, performance diagnostics, muscle damage, or cardiovascular/endocrine adaptation in athletes. Therefore, it does not inform training decisions or monitoring in a sports-specific context based on these findings.;1;;1
miR-105;31936142;The findings are exclusively derived from a clinical context involving breast cancer patients, specifically monitoring for metastatic progression. No athletic population, exercise intervention, or training state is described.;miR-105 was significantly elevated in breast cancer patients who developed distant metastases compared to those who did not.;Based on the provided data, miR-105 is indicated as a prognostic marker for metastatic progression in breast cancer patients. There is no information linking miR-105 to exercise physiology, training load monitoring, recovery, adaptation, performance diagnostics, muscle damage, or any cardiovascular or endocrine adaptations in athletes. Therefore, its utility for informing training, monitoring adaptation, stress, performance, or recovery in a sports context cannot be determined from this finding.;1;;1
miR-21;31936142;The biomarker miR-21 was analyzed in the plasma of breast cancer patients and compared to healthy controls.;miR-21 was significantly elevated in breast cancer patients (n=16) compared to healthy controls (n=16).;Based strictly on the provided data, miR-21 is identified as a diagnostic biomarker for breast cancer. There is no information provided that links miR-21 to exercise physiology, training load monitoring, recovery, adaptation, overtraining, metabolic flexibility, inflammation in athletes, performance diagnostics, muscle damage/repair, or cardiovascular/endocrine adaptation. Consequently, this specific finding does not offer direct sport-specific implications for informing training, monitoring adaptation, stress, performance, or recovery in athletes.;1;;1
miR-1246;31936142;The biomarker miR-1246 was analyzed in the plasma of breast cancer patients. No athlete population, specific exercise intervention, or training state was reported in the context of these findings.;miR-1246 was found to be significantly elevated in the plasma of breast cancer patients (n=16) when compared to healthy controls (n=16).;Based strictly on the provided data, miR-1246 is identified as a diagnostic biomarker for breast cancer. There is no information linking its levels to exercise physiology, training load monitoring, recovery status, adaptation processes, risk of overtraining, metabolic flexibility, inflammation in athletes, or performance diagnostics. Therefore, these findings do not provide any basis for its use in informing training decisions or monitoring athletic adaptation, stress, performance, or recovery.;1;;1
