Biomarker,Document IDs,Activity Context Summary,Effect Summary,Sport Implications,Relevance for Sports (1–10),Biomarker Groups,Occurrences in Dataset
1p34.3 Locus (near RSPO1),25581431,"No athlete or exercise context reported. This study focused on identifying genetic susceptibility loci for invasive epithelial ovarian cancer (EOC) in a general population, including EOC cases, controls, and BRCA1/2 mutation carriers. The methods involved meta-analysis of genome-wide association studies (GWAS) and functional genomics analysis.","The 1p34.3 locus (near RSPO1) is associated with a higher genetic risk of all invasive epithelial ovarian cancer (EOC), with a stronger association specifically with the serous EOC subtype. RSPO1 encodes R-spondin 1, a protein involved in Wnt signaling, cell proliferation, tumorigenesis, and early ovarian development.","These findings pertain exclusively to genetic predisposition for epithelial ovarian cancer and do not provide any information relevant to training stress, adaptation, performance, recovery, metabolic flexibility, inflammation, muscle damage, or cardiovascular/endocrine adaptation in an athletic population. Therefore, this biomarker does not support an athletic interpretation.",1,,1
"1p36 Locus (near WNT4, CDC42, LINC00339)",25581431,"No athlete or exercise context reported. The study focused on identifying genetic susceptibility loci for invasive epithelial ovarian cancer (EOC) and endometriosis in the general population, including BRCA1/2 mutation carriers, through genome-wide association studies and meta-analysis.","The 1p36 locus, specifically associated with the rs56318008 variant (near WNT4, CDC42, LINC00339), is associated with a higher genetic risk of all invasive epithelial ovarian cancer (EOC) and an increased risk of endometriosis. WNT4 is involved in cell proliferation and differentiation, CDC42 in cell migration and signaling, and LINC00339 is implicated in endometriosis.","The provided findings do not support an athletic interpretation. This biomarker is identified as a genetic susceptibility locus for invasive epithelial ovarian cancer and endometriosis. There is no reported athletic context, nor is there any indication how this genetic locus, or the functions of WNT4, CDC42, or LINC00339, directly relate to training stress, adaptation, recovery, or performance in athletes. Therefore, it does not offer insights relevant to exercise physiology or sports medicine.",1,"cell_damage, endocrine_response",1
2-Phenylpropionate,39390047,"No athlete or exercise context reported. This study investigated metabolic profiles in serum and urine from COVID-19 patients across varying disease severities (Medical Ward and Intensive Care Unit) and healthy controls, aiming to identify biomarkers for COVID-19 diagnosis, severity classification, and prognosis.","Higher levels of 2-Phenylpropionate were observed in the urine of COVID-19 patients compared to healthy controls, where it was identified as a key discriminating molecule.","The provided findings are derived from an observational study comparing COVID-19 patients to healthy controls, with no athletic population, exercise intervention, or performance-related context. Therefore, this data does not provide any direct insights into training stress, adaptation, performance, or recovery in athletes. The biomarker's role in the context of exercise physiology or sports performance remains unexplored based on this information.",1,metabolic,1
2.50-kb PCR Product,27746115,"No athlete or exercise context reported. The study investigates molecular determinants of hemogenic endothelial cells and hematopoietic progenitor cells by generating a GATA2w/eGFP reporter in human embryonic stem cells (hESCs), involving gene editing using TALENs, in vitro hPSC differentiation, and in vivo mouse embryo analysis.",A 2.50-kb PCR product was detected in genomic DNA from H1 human embryonic stem cells. This product confirms the successful integration of a loxP-flanked PGK-puromycin selection cassette at the GATA2 locus following TALEN gene targeting.,"This biomarker represents a molecular verification of successful gene editing in human embryonic stem cells. It provides no direct information or insight relevant to understanding training stress, adaptation, performance, recovery, metabolic flexibility, inflammation, muscle damage, or cardiovascular and endocrine adaptations in athletes.",1,,1
20-meter Sprint Time,"27455316, 39639055, 29462969","Studies investigated 20-meter sprint time in various athletic contexts:
-   Semi-professional male soccer players recovering from prolonged, intermittent sprint activity, with Montmorency tart cherry concentrate supplementation.
-   Elite male soccer players monitored over a 12-week competitive period, including uncongested and congested match play phases.
-   Female team-sport athletes recovering from exercise-induced muscle damage following a repeated sprinting and jumping protocol, with post-exercise milk or carbohydrate drink interventions.","Observed effects on 20-meter sprint time were:
-   Montmorency tart cherry concentrate (MC) supplementation led to significantly faster 20m sprint times (4%) at 48 hours post-exercise compared to placebo in semi-professional soccer players recovering from intermittent sprints.
-   In elite male soccer players, sprint times showed mixed changes across competitive periods: a moderate increase (slower time, ES = 0.62) from baseline to an uncongested match play period, followed by a moderate decrease (faster time, ES = -0.76) from the uncongested to a congested match play period. Most players ultimately achieved faster times after the congested period compared to baseline and the uncongested period.
-   For female team-sport athletes recovering from exercise-induced muscle damage, the effect of post-exercise milk versus an energy-matched carbohydrate drink on 20m sprint performance recovery was unclear, with no clear advantage observed for either intervention.","The 20-meter sprint time is a crucial performance diagnostic and a sensitive indicator of recovery and fatigue in athletes. It directly reflects an athlete's maximal acceleration and short-distance speed, which are vital components in many team sports and sprint-based activities.

Changes in 20-meter sprint performance can signal the effectiveness of recovery strategies, such as nutritional interventions like Montmorency tart cherry concentrate, which was shown to accelerate functional performance recovery post-sprint activity. This suggests it can be used to monitor the efficacy of recovery protocols.

Fluctuations in sprint times can also serve as an indicator of training load and competitive stress. The observation of varied sprint performance across different match play periods (uncongested vs. congested) in elite soccer highlights its utility in monitoring the adaptive responses or accumulated fatigue due to varying training and competitive loads. A decrease (faster time) can indicate positive adaptation or optimal recovery, while an increase (slower time) suggests fatigue, under-recovery, or potential overreaching, helping coaches adjust training intensity or recovery emphasis. However, the study on elite soccer players showed complex changes, suggesting that context (e.g., initial fatigue, adaptive responses to increased competitive load) is critical for interpretation.

An unclear effect of a recovery intervention (milk vs. carbohydrate) on 20m sprint time suggests that while other markers of muscle function might improve, sprint speed recovery can be more resistant to change or require more potent interventions or longer observation periods to demonstrate clear differences. Overall, 20-meter sprint time is a highly relevant performance diagnostic for assessing training adaptation, monitoring recovery status, and managing overall athlete load.",9,,3
24(S)-Hydroxycholesterol,29614689,"No athlete or exercise context reported. The findings specifically relate to 24(S)-Hydroxycholesterol as a biomarker in the context of Huntington's Disease (HD), reflecting brain cholesterol metabolism and neuronal loss in this specific disease population.",Plasma levels of 24(S)-Hydroxycholesterol are consistently observed to be lower in individuals with Huntington's Disease (HD). This reduction is associated with neuronal loss and is considered to reflect brain cholesterol metabolism within the context of the disease.,"The provided findings lack any athletic context. The information on 24(S)-Hydroxycholesterol is solely related to its role as a biomarker for Huntington's Disease, reflecting neuronal loss and brain cholesterol metabolism in this patient population. Consequently, these findings do not allow for interpretation regarding training stress, adaptation, performance, or recovery in athletes.",1,metabolic,1
24-hour Proteinuria (predominantly albumin),39627959,No athlete or exercise context reported. The study investigates a biomarker-based longitudinal screening and monitoring strategy for the early detection of AL amyloidosis and other renal pathologies (such as diabetic nephropathy or hypertensive nephrosclerosis) in a single-center cohort of MGUS patients.,"Elevated 24-hour proteinuria (predominantly albumin) was detected in 54.5% of pre-symptomatic AL amyloidosis patients and 52.6% of MGUS patients without AL. This elevation indicated potential initial pre-symptomatic organ involvement, specifically kidney damage or dysfunction due to compromise of the glomerular filtration barrier, or other kidney diseases.","The findings from this study do not support an athletic interpretation as the context is solely focused on the diagnostic screening for AL amyloidosis and other kidney diseases in a patient population (MGUS patients). There is no information regarding training stress, adaptation, performance, or recovery in athletes. Therefore, this biomarker, in this specific study context, does not help understand athletic training, recovery, or performance.",1,cell_damage,1
24-hour Urinary Magnesium Excretion,30509185,"No athlete or exercise context reported. The study involved patients with cardiac arrhythmias, cardiovascular disorders, and metabolic syndrome components. The intervention was a 6-week dietary supplement containing magnesium and other micronutrients, as an add-on therapy to existing cardiovascular drug treatment.","After 6 weeks of dietary intervention with a specific micronutrient combination (including magnesium), 24-hour urinary magnesium excretion was significantly elevated in the verum group compared to baseline (p = 0.018) and significantly higher compared to the placebo group (p = 0.036).","This study does not provide direct athletic context to assess the implications of 24-hour urinary magnesium excretion for training stress, adaptation, performance, or recovery in athletes. The observed increase in magnesium excretion is a direct consequence of magnesium supplementation in a patient population. While magnesium is a critical mineral for numerous physiological processes relevant to athletic performance (e.g., energy metabolism, muscle function, electrolyte balance), this finding does not offer insights into its utility as a biomarker in an exercise physiology or training load monitoring context.",2,"metabolic, endocrine_response, cardio_risk, muscle_damage, inflammatory_changes",1
24-hour Urinary Potassium Excretion,30509185,"The study investigated a 6-week dietary intervention with a specific micronutrient combination (including magnesium, potassium, B vitamins, and Coenzyme Q10) in patients with cardiac arrhythmias, cardiovascular disorders, and metabolic syndrome components. No athlete or exercise context reported.","After 6 weeks of dietary intervention with a specific micronutrient combination, 24-hour urinary potassium excretion was elevated in the verum group (p = 0.059, ES = 0.326) compared to placebo. This suggests increased potassium turnover or elimination, likely due to the dietary supplementation.","This study's findings are derived from a population with cardiac and metabolic disorders undergoing a micronutrient intervention, and there is no athlete or exercise context reported. Therefore, these specific findings do not provide direct insights into training stress, adaptation, performance, or recovery in an athletic context.",3,metabolic,1
25-Hydroxyvitamin D,"40565560, 37132382, 40362542, 40217244, 31791333, 32664257, 35977107, 30848096","The findings include studies on young elite soccer players during a one-year training cycle, observing seasonal changes, sunlight exposure, and the effects of 8-week vitamin D supplementation. Another study involved elite male rowers undergoing multiple strenuous, non-weight-bearing training sessions, with an assessment of general health status. Additionally, there was a study on physically active older adults with low habitual protein intake participating in 12 weeks of walking exercise training combined with daily protein supplementation.

Non-athletic contexts reported include: children with Noonan Syndrome; children with Acute Lymphoblastic Leukemia during chemotherapy; patients with Medication-Related Osteonecrosis of the Jaw (MRONJ) receiving teriparatide and oral vitamin D; women at risk of vitamin D deficiency undergoing a 12-week food-based vitamin D fortification intervention; and pregnant women with Type 1 Diabetes for preeclampsia risk prediction. These non-athletic contexts are not directly relevant to exercise physiology or athletic performance.","Serum/plasma 25-Hydroxyvitamin D levels in young elite soccer players exhibited significant seasonal variations, being significantly higher in summer (August) and considerably lower during autumn-winter (December-May). A short-term 8-week vitamin D supplementation (5,000 IU/day) did not produce a sustained extended effect on levels, with changes primarily dictated by sunlight radiation. Deficiency (≤20 ng/dl) was widespread in autumn-winter, affecting up to 25% of participants.

In elite male rowers, 30% of the study sample presented with insufficient 25-Hydroxyvitamin D levels, coinciding with an annual seasonal nadir for vitamin D.

In physically active older adults engaged in 12 weeks of walking exercise, serum 25-Hydroxyvitamin D concentrations increased in both protein-supplemented and placebo groups, indicating an effect of physical activity or associated factors like sun exposure, but no difference was observed between the groups.

In non-athletic contexts: levels were unchanged in children with Noonan Syndrome compared to controls, though a high prevalence of insufficiency/deficiency was noted within the cohort. Levels were lower than normal at diagnosis and dropped significantly during chemotherapy in children with Acute Lymphoblastic Leukemia. Oral vitamin D supplementation (1,000 IU/day) led to significantly increased 25-Hydroxyvitamin D levels post-treatment in patients with MRONJ. A 12-week food-based vitamin D fortification (30 µg/day) significantly increased levels in women during winter, while placebo groups saw a decrease. Pregnant women with Type 1 Diabetes showed a higher frequency of deficiency/insufficiency compared to non-diabetics, but 25-Hydroxyvitamin D levels did not predict preeclampsia.","25-Hydroxyvitamin D status is a crucial aspect of athlete health and performance, particularly due to its significant seasonal fluctuations observed in athletes like young elite soccer players. The prevalence of deficiency/insufficiency during autumn and winter highlights a risk for impaired immune function and overall physiological well-being, which can negatively impact training consistency, adaptation, and performance. Continuous monitoring and strategic, potentially longer-term, supplementation may be necessary to maintain optimal levels, especially during periods of reduced sun exposure or increased training loads, as short-term supplementation may not yield sustained effects. The finding of insufficient levels in elite rowers underscores that this is a common nutritional concern in athletic populations. While acute calcium intake may mitigate exercise-induced bone resorption, underlying vitamin D insufficiency could compromise long-term bone health and increase the risk of bone stress injuries. In active populations, regular physical activity may contribute to maintaining adequate vitamin D status, likely through increased outdoor exposure. Therefore, monitoring 25-Hydroxyvitamin D levels can inform nutritional and training load management strategies to support athlete resilience, optimize recovery, and potentially enhance performance by maintaining robust immune function and bone health.",7,"endocrine_response, metabolic, inflammatory_changes",8
25-Hydroxyvitamin D (Vitamin D),35709193,"No athlete or exercise context reported. This cross-sectional observational study investigated cognitive impairment and oxidative stress markers in vitamin D insufficient elderly patients, both with and without type 2 diabetes mellitus (T2DM). Participants were categorized based on their existing health status (diabetic vs. non-diabetic) and serum vitamin D levels (insufficient < 29 ng/mL vs. sufficient >= 30 ng/mL). No therapeutic interventions or dose-response comparisons were conducted.","This study categorized participants based on their vitamin D status. No significant difference in mean 25-hydroxyvitamin D levels was observed between individuals with cognitive impairment versus those with normal cognition within either the vitamin D insufficient diabetic or non-diabetic subgroups. Additionally, no significant difference in mean vitamin D levels was found between the diabetic and non-diabetic groups overall.","The findings from this study do not provide information relevant to understanding training stress, adaptation, performance, or recovery in an athletic population. The study's focus on elderly patients, type 2 diabetes mellitus, and cognitive impairment is entirely outside the domain of sports science.",1,"inflammatory_changes, metabolic, glycemic, endocrine_response",1
27-Hydroxycholesterol,"29614689, 40284247","The first document is a comprehensive review evaluating wet biomarkers for Huntington's Disease, and thus has no athlete or exercise context reported. The second document investigates the effects of 2-week hemp fiber supplementation (high and low doses) or placebo on post-exercise plasma metabolite shifts in healthy male and female cyclists after an intensive cycling bout (2.25 hours at approximately 70% VO2max).","In the context of Huntington's Disease, 27-hydroxycholesterol levels were reported to be lower in patients' plasma. In healthy male and female cyclists, high-dose hemp fiber supplementation combined with vigorous exercise resulted in changes in 27-hydroxycholesterol levels, indicating a significant influence on the primary bile acid biosynthesis pathway.","The first finding provides no athletic context and therefore has no direct implications for understanding training stress, adaptation, performance, or recovery in athletes. The second finding shows that 27-hydroxycholesterol, an oxysterol involved in cholesterol and bile acid metabolism, is responsive to the combination of a dietary intervention (hemp fiber supplementation) and intensive exercise in cyclists. While these findings indicate modulation of core metabolic pathways in response to training and nutrition, the specific utility of 27-hydroxycholesterol as a direct biomarker for monitoring training load, recovery, or performance is not explicitly detailed. However, understanding how dietary strategies and exercise influence bile acid and cholesterol metabolism through biomarkers like 27-hydroxycholesterol could contribute to a broader understanding of metabolic adaptation and metabolic flexibility in athletes, potentially influencing recovery or performance optimization strategies indirectly.",5,metabolic,2
3-Hydroxy-4-Methoxybenzoic Acid (Isovanillic Acid),40284247,"Healthy male and female cyclists supplemented daily for 2 weeks with either a high or low dose of hemp fiber or placebo, followed by a 2.25-hour intensive cycling bout at approximately 70% VO2max.","Plasma levels of 3-Hydroxy-4-Methoxybenzoic Acid (Isovanillic Acid) were observed to be higher (increased with VIP = 1.9) after a 2.25-hour intensive cycling bout following 2 weeks of hemp fiber supplementation, contributing to an overall shift towards increased beneficial metabolites. This biomarker is identified as a plant metabolite with antibacterial properties.","The observed increase in 3-Hydroxy-4-Methoxybenzoic Acid (Isovanillic Acid) in response to intensive cycling combined with hemp fiber supplementation suggests a positive influence on gut-derived metabolite profiles in athletes. As a plant metabolite with antibacterial properties, its elevation may indicate an enhanced beneficial gut environment. This could support optimized recovery and adaptation by potentially modulating the gut microbiome, influencing nutrient processing, and contributing to overall metabolic health during periods of high training load. This biomarker might serve as an indicator of gut health response to specific dietary interventions in conjunction with endurance exercise.",8,metabolic,1
3-Hydroxybutyrate,39390047,No athlete or exercise context reported. This study employed NMR metabolomics to investigate metabolic profiles in serum and urine from COVID-19 patients across varying disease severities (Medical Ward and Intensive Care Unit) and healthy controls.,"3-Hydroxybutyrate (3HB) levels were found to be higher in the urine of ICU COVID-19 patients compared to Medical Ward patients. In serum, 3HB was positively correlated and statistically associated with hypertension in COVID-19 patients. Unspecified metabolic changes related to 3HB were also detected in the urine of ICU patients.","This study's findings are entirely within a clinical context (COVID-19 patients) and do not provide any direct insights into training stress, adaptation, performance, or recovery in athletes. Therefore, no sport-specific implications regarding training load monitoring, recovery, adaptation, overtraining/underrecovery, metabolic flexibility, or performance diagnostics can be directly derived from this research.",1,metabolic,1
3-Hydroxykynurenine,41217979,"The study involved 11 young healthy males undergoing two distinct heat stress protocols. One protocol involved exertional heating through cycling exercise at an intensity eliciting 60% VO2max in a 30°C room until rectal temperature reached 39°C, followed by a recovery phase. The other was exogenous heating via hot water immersion. The participants' training state beyond 'young healthy males' was not specified.","Plasma 3-Hydroxykynurenine (3-HK) concentration showed a steady increase during the exertional heating (cycling) phase, which became more pronounced during the subsequent recovery phase, peaking at a rectal temperature of 38°C. This elevation was statistically significant (p < 0.001) and was observed exclusively in the exertional heating trial, not during the exogenous heating trial. The increase was transient, with concentrations generally returning to baseline during recovery, suggesting an adaptable physiological response. 3-HK is a metabolite within the kynurenine pathway, known for its pro-oxidant and excitotoxic properties.","The increase in 3-Hydroxykynurenine during exertional heating, which combines exercise and heat stress, suggests that this biomarker reflects the acute physiological load associated with such demanding conditions. This is relevant for athletes training or competing in hot environments. The activation of the kynurenine pathway, indicated by elevated 3-HK, may be a response to the combined metabolic and thermal stress, potentially linking to increased oxidative stress given 3-HK's pro-oxidant nature. The transient nature of the increase and subsequent return to baseline implies an acute, adaptable response rather than chronic maladaptation. Monitoring 3-HK could potentially offer insights into the immediate stress response and recovery dynamics in athletes exposed to exertional heat, helping to understand the physiological cost of such training or competition. However, the study primarily frames KP metabolites as 'disease biomarkers,' and direct links to athletic performance enhancement or long-term adaptation remain to be established.",7,"metabolic, inflammatory_changes, cell_damage",1
3-Indoxylsulphate,39390047,No athlete or exercise context reported.,"Urinary levels of 3-indoxylsulphate were observed to be higher in COVID-19 patients compared to healthy controls. Metabolic changes involving this biomarker were detected in Intensive Care Unit (ICU) patients, and it was identified as a key discriminating molecule for COVID-19 infection and disease severity.","The provided study investigates 3-indoxylsulphate in the context of COVID-19 infection and disease severity, differentiating patients from healthy controls. It does not provide any data or context related to athletic training stress, recovery, adaptation, or performance. Therefore, based on this specific study, there are no direct implications for understanding these aspects in athletes.",1,metabolic,1
3-Methyl-2-Oxovalerate,39390047,No athlete or exercise context reported. The study investigated metabolic profiles in serum and urine from COVID-19 patients across varying disease severities (Medical Ward and Intensive Care Unit) and healthy controls.,"3-Methyl-2-Oxovalerate, an intermediate in branched-chain amino acid catabolism, showed metabolic changes in urine from COVID-19 patients in Intensive Care Units compared to those in Medical Wards.","The provided findings are derived from an observational study on COVID-19 patients and healthy controls, focused on identifying biomarkers for disease severity. There is no athletic context, exercise intervention, or performance-related data reported. Therefore, these specific findings do not directly support an interpretation regarding training stress, adaptation, performance, or recovery in athletes. While 3-methyl-2-oxovalerate is an intermediate in branched-chain amino acid catabolism, a pathway fundamentally relevant to exercise metabolism and protein turnover, the current data does not link its changes to athletic performance or training responses.",2,metabolic,1
